wavelength,intensity1,intensity2,intensity3
360.035,36.686,39.677,36.309
360.21,21.523,47.452,30.158
360.384,44.948,79.768,51.611
360.558,62.639,93.194,64.243
360.732,70.524,73.466,82.175
360.906,119.191,117.898,142.97
361.08,98.543,66.969,115.97
361.254,140.785,105.305,99.512
361.428,82.914,84.815,129.639
361.603,76.498,79.162,116.627
361.777,59.189,42.524,54.784
361.951,77.279,63.644,62.995
362.125,68.449,104.488,83.628
362.299,95.958,68.911,81.98
362.473,111.112,75.53,101.684
362.647,93.649,93.017,97.649
362.821,132.499,94.146,96.275
362.996,67.864,104.868,92.723
363.17,92.245,101.549,71.029
363.344,67.587,54.18,69.648
363.518,79.788,80.366,78.349
363.692,91.202,107.091,74.605
363.866,119.789,74.594,111.354
364.04,106.396,117.501,20.15
364.214,70.077,117.986,108.911
364.388,95.096,86.334,136.933
364.563,116.397,120.194,90.007
364.737,93.379,79.736,59.41
364.911,180.787,108.743,179.804
365.085,119.388,94.665,139.487
365.259,86.574,92.492,92.933
365.433,127.613,159.841,115.511
365.607,142.939,111.314,127.231
365.781,117.032,108.814,116.793
365.955,119.464,110.15,136.815
366.129,172.995,122.901,125.225
366.304,61.7,40.062,63.479
366.478,97.018,109.202,101.274
366.652,129.087,150.987,125.885
366.826,106.109,111.46,82.98
367,113.771,100.866,135.195
367.174,159.734,74.681,76.539
367.348,193.338,158.004,123.229
367.522,160.288,77.498,140.755
367.696,108.108,115.268,71.256
367.87,122.503,73.383,98.927
368.045,215.713,204.461,139.12
368.219,183.022,133.336,102.011
368.393,86.621,163.401,123.423
368.567,114.898,102.857,143.13
368.741,134.84,68.629,175.24
368.915,114.821,110.479,109.521
369.089,207.082,168.169,169.491
369.263,118.132,92.758,140.77
369.437,101.147,72.809,74.382
369.611,137.143,95.929,151.834
369.785,95.048,75.378,146.683
369.959,98.758,113.982,84.534
370.134,183.855,58.946,141.099
370.308,54.84,134.707,70.088
370.482,85.574,226.847,158.046
370.656,138.114,115.412,96.21
370.83,103.376,89.747,44.427
371.004,109.918,104.941,133.668
371.178,103.544,101.949,89.218
371.352,156.318,90.95,86.752
371.526,180.968,106.009,188.897
371.7,121.688,112.921,95.244
371.874,111.751,85.451,85.138
372.048,326.361,112.303,189.127
372.222,148.23,116.714,161.888
372.397,154.714,161.226,198.372
372.571,218.065,208.844,204.426
372.745,153.974,135.585,147.596
372.919,145.643,199.372,93.259
373.093,112.83,112.795,100.387
373.267,117.636,147.322,107.695
373.441,160.246,177.229,156.085
373.615,149.177,210.909,176.202
373.789,167.04,122.413,138.032
373.963,157.41,170.869,131.089
374.137,97.677,211.27,163.853
374.311,167.293,126.78,127.229
374.485,237.145,276.84,239.04
374.659,175.597,174.606,160.072
374.833,96.26,116.565,129.397
375.007,76.785,138.267,78.596
375.182,113.407,181.186,106.121
375.356,253.531,124.476,176.717
375.53,89.743,97.776,142.997
375.704,259.078,160.571,141.961
375.878,179.99,121.158,0
376.052,314.758,216.081,248.051
376.226,215.564,223.406,134.356
376.4,93.467,100.423,51.977
376.574,90.824,201.121,144.52
376.748,179.527,154.244,181.808
376.922,69.446,134.133,77.533
377.096,187.081,199.774,79.491
377.27,125.132,102.607,174.07
377.444,114.767,182.063,186.636
377.618,198.116,198.978,161.64
377.792,168.81,104.441,144.555
377.966,145.045,138.685,188.928
378.14,163.379,131.668,135.186
378.314,231.844,195.835,228.046
378.488,179.892,175.692,203.373
378.662,128.511,94.934,137.331
378.837,110.996,116.506,135.671
379.011,109.334,132.447,172.89
379.185,149.648,163.739,176.034
379.359,356.774,211.676,219.215
379.533,181.054,199.457,147.865
379.707,210.455,187.769,164.757
379.881,201.813,137.902,148.544
380.055,82.758,77.07,149.199
380.229,158.358,191.663,209.448
380.403,46.957,107.516,164.516
380.577,165.377,22.819,146.894
380.751,184.049,142.907,166.881
380.925,133.253,216.982,180.37
381.099,105.696,121.389,96.623
381.273,285.73,204.882,166.341
381.447,151.462,175.477,153.087
381.621,136.583,171.826,163.878
381.795,273.386,197.81,178.077
381.969,238.326,155.703,170.295
382.143,89.233,186.792,128.717
382.317,214.176,198.394,248.583
382.491,145.907,140.784,166.767
382.665,141.952,153.196,182.04
382.839,223.469,178.152,270.241
383.013,206.798,249.036,224.369
383.187,176.548,158.95,109.23
383.361,123.99,161.315,181.411
383.535,190.854,195.793,86.789
383.709,324.208,235.473,380.126
383.883,38.163,120.549,123.906
384.057,202.339,177.72,158.3
384.231,122.982,105.577,156.373
384.405,171.621,178.298,115.563
384.579,169.117,185.8,166.775
384.753,181.91,102.711,161.229
384.927,101.366,152.16,140.329
385.101,111.298,215.429,185.453
385.275,187.352,222.749,161.817
385.449,119.39,133.847,63.639
385.623,250.323,157.331,190.696
385.797,158.454,225.961,170.027
385.971,234.259,178.073,160.015
386.145,160.79,143.113,115.483
386.319,198.574,154.926,164.755
386.493,247.101,203.791,192.888
386.667,218.617,331.866,243.735
386.841,134.815,158.322,139.762
387.015,218.432,284.375,205.916
387.189,174.979,296.34,388.019
387.363,83.976,69.786,67.584
387.537,258.666,235.06,186.454
387.711,95.805,50.903,53.395
387.885,122.085,87.091,239.605
388.059,196.269,112.247,199.685
388.233,200.655,147.025,86.376
388.407,139.324,109.449,76.072
388.581,177.171,58.106,196.14
388.755,106.724,108.782,165.281
388.929,149.315,145.57,150.078
389.103,269.737,277.324,246.316
389.277,181.963,135.325,178.703
389.451,130.455,56.441,182.459
389.625,193.691,214.662,191.058
389.799,202.853,235.128,236.76
389.973,215.759,162.815,250.269
390.147,171.039,173.839,165.941
390.321,186.076,222.721,267.312
390.495,95.858,123.805,165.479
390.669,184.554,141.13,125.294
390.843,251.854,137.635,196.45
391.017,162.229,89.025,217.579
391.191,271.329,178.444,237.057
391.365,145.061,158,121.92
391.539,218.087,257.102,232.467
391.713,199.77,169.339,235.545
391.887,198.939,156.813,142.049
392.061,180.63,91.775,92.506
392.235,160.886,108.395,127.151
392.409,260.378,221.955,204.544
392.583,196.754,241.729,195.029
392.757,201.063,134.297,198.543
392.931,165.934,123.477,243.818
393.105,102.194,86.817,149.747
393.279,198.54,151.715,61.209
393.453,129.214,106.573,101.135
393.627,224.158,112.914,228.441
393.801,132.199,222.336,236.981
393.975,136.608,259.062,72.271
394.149,149.152,200.279,255.929
394.322,149.329,185.839,148.881
394.496,77.531,108.282,128.812
394.67,301.311,266.145,271.606
394.844,167.989,107.883,141.709
395.018,180.019,215.547,197.948
395.192,203.139,183.99,160.917
