wavelength,intensity1,intensity2,intensity3
360.035,31.752,34.018,50.623
360.21,25.6,57.632,47.476
360.384,28.545,40.847,62.92
360.558,40.895,72.491,40.5
360.732,82.953,103.916,84.206
360.906,78.694,88.998,124.905
361.08,65.692,58.311,82.796
361.254,112.934,116.619,101.89
361.428,79.653,117.808,66.855
361.603,100.123,78.774,80.822
361.777,37.869,60.054,39.46
361.951,53.422,97.812,74.868
362.125,107.658,74.937,93.927
362.299,104.399,56.871,87.502
362.473,25.863,138.227,98.877
362.647,117.172,119.771,90.048
362.821,73.807,59.465,113.94
362.996,116.203,104.437,111.49
363.17,95.703,92.38,102.183
363.344,34.983,63.675,57.789
363.518,60.994,58.152,62.875
363.692,76.749,33.64,73.82
363.866,34.104,74.17,63.499
364.04,65.757,54.06,76.189
364.214,56.425,95.07,88.447
364.388,75.401,82.664,86.928
364.563,41.099,149.07,87.724
364.737,57.226,18.924,35.979
364.911,104.449,136.748,125.204
365.085,89.713,91.525,99.104
365.259,96.442,66.24,83.297
365.433,85.065,55.399,64.691
365.607,123.051,112.253,82.725
365.781,111.319,40.956,104.459
365.955,53.883,92.23,96.776
366.129,119.718,154.764,128.026
366.304,70.018,52.971,87.758
366.478,96.974,98.453,61.048
366.652,103.448,52.491,120.344
366.826,77.134,122.412,74.517
367,126.597,113.251,111.088
367.174,88.602,132.717,129.796
367.348,190.146,129.984,107.871
367.522,46.804,89.825,144.622
367.696,59.039,82.768,41.462
367.87,139.665,108.065,82.068
368.045,146.189,91.641,135.111
368.219,149.273,173.476,119.228
368.393,73.099,102.274,96.755
368.567,136.609,114.322,64.65
368.741,60.973,98.557,116.211
368.915,58.032,76.922,82.53
369.089,111.819,107.297,95.244
369.263,100.162,83.039,91.575
369.437,37.996,51.15,101.761
369.611,89.173,113.358,104.23
369.785,39.049,77.614,109.807
369.959,0,46.153,70.183
370.134,171.837,209.08,181.728
370.308,31.881,88.428,114.942
370.482,173.728,133.734,181.53
370.656,97.013,69.621,101.37
370.83,97.602,97.817,31.132
371.004,106.337,105.844,70.387
371.178,104.27,82.68,53.692
371.352,132.65,58.897,63.469
371.526,178.816,172.887,140.434
371.7,86.101,96.766,70.431
371.874,95.744,174.799,103.349
372.048,170.926,185.641,107.247
372.222,58.987,32.146,77.444
372.397,203.345,119.346,153.816
372.571,191.492,130.639,152.869
372.745,104.971,112.656,56.091
372.919,118.274,10.143,89.35
373.093,76.315,76.544,83.995
373.267,126.5,102.205,81.259
373.441,157.099,32.016,135.524
373.615,228.044,155.164,236.179
373.789,77.803,123.379,153.466
373.963,232.763,113.764,159.708
374.137,103.511,163.526,133.064
374.311,90.33,106.726,101.874
374.485,173.935,114.666,169.388
374.659,166.053,201.407,152.888
374.833,111.463,112.409,86.848
375.007,60.84,109.43,71.284
375.182,75.09,124.043,135.179
375.356,70.938,172.524,135.071
375.53,113.892,92.114,97.84
375.704,149.382,178.11,195.171
375.878,73.498,122.453,116.178
376.052,260.629,128.648,171.618
376.226,111.003,120.172,187.017
376.4,57.085,85.245,73.931
376.574,68.077,148.128,76.771
376.748,47.161,150.134,129.948
376.922,62.814,108.126,106.071
377.096,99.013,112.148,122.104
377.27,102.59,102.099,144.843
377.444,255.623,222.323,185.913
377.618,62.553,115.219,112.336
377.792,158.364,145.19,130.467
377.966,106.172,136.229,115.297
378.14,125.888,128.097,165.337
378.314,159.851,198.395,227.395
378.488,133.108,166.638,183.049
378.662,77.446,79.055,108.273
378.837,99.865,104.923,33.44
379.011,107.418,52.125,100.11
379.185,91.517,87.829,102.591
379.359,161.081,250.634,311.587
379.533,159.458,146.442,154.446
379.707,91.546,183.557,106.383
379.881,193.132,211.922,161.34
380.055,117.503,119.669,137.364
380.229,130.661,121.42,72.645
380.403,72.633,106.917,143.282
380.577,105.747,170.941,133.515
380.751,98.05,131.958,174.747
380.925,202.067,160.462,143.53
381.099,57.562,89.292,93.495
381.273,225.435,243.334,152.752
381.447,82.219,164.728,138.47
381.621,106.953,140.62,151.881
381.795,238.613,150.123,100.935
381.969,159.66,239.552,223.443
382.143,190.965,132.508,23.155
382.317,173.647,196.459,150.174
382.491,108.567,106.281,161.192
382.665,112.729,111.131,124.119
382.839,219.709,142.374,193.015
383.013,127.439,208.101,206.842
383.187,115.054,144.997,244.591
383.361,175.731,153.908,124.024
383.535,106.041,131.266,156
383.709,256.939,262.718,312.171
383.883,50.006,96.075,135.282
384.057,142.198,135.19,145.028
384.231,78.549,144.425,145.205
384.405,155.231,95.026,179.342
384.579,194.633,137.857,178.997
384.753,101.673,232.884,168.759
384.927,179.954,250.265,115.793
385.101,115.609,190.511,180.431
385.275,104.284,133.477,94.128
385.449,61.345,117.03,69.114
385.623,159.35,135.145,157.42
385.797,175.813,94.42,124.721
385.971,61.828,118.266,141.716
386.145,121.93,137.186,90.282
386.319,224.127,169.385,130.678
386.493,148.898,168.209,98.367
386.667,137.588,183.858,130.991
386.841,141.165,198.235,263.343
387.015,211.757,202.189,148.084
387.189,209.99,323.08,338.893
387.363,65.048,130.409,180.215
387.537,236.156,174.803,70.274
387.711,4.152,149.293,87.432
387.885,156.953,104.867,140.693
388.059,164.122,123.833,117.047
388.233,105.699,92.64,164.981
388.407,193.576,108.68,98.889
388.581,100.581,170.167,132.288
388.755,107.704,71.174,138.351
388.929,198.413,89.353,155.513
389.103,211.031,215.238,207.349
389.277,187.348,141.186,86.129
389.451,104.701,105.011,86.323
389.625,267.743,178.459,166.077
389.799,169.486,120.813,235.212
389.973,200.875,182.152,147.038
390.147,172.869,133.35,131.273
390.321,232.164,159.122,255.971
390.495,125.649,84.878,84.7
390.669,45.059,133.156,42.075
390.843,162.521,179.44,197.924
391.017,233.951,143.92,218.138
391.191,204.631,132.876,217.857
391.365,126.586,183.195,71.504
391.539,239.13,116.977,150.56
391.713,178.658,273.648,237.205
391.887,111.39,123.904,172.41
392.061,157.531,134.838,143.399
392.235,100.692,222.567,113.621
392.409,201.677,275.548,146.365
392.583,210.428,267.095,135.512
392.757,180.868,209.781,200.047
392.931,235.223,206.061,227.656
393.105,174.003,192.5,102.233
393.279,181.349,171.426,166.644
393.453,160.493,142.052,76.57
393.627,147.189,197.227,114.199
393.801,158.714,187.969,247.874
393.975,110.034,128.593,93.68
394.149,127.132,86.066,201.603
394.322,123.299,193.244,126.967
394.496,71.502,132.401,85.519
394.67,179.506,220.824,204.214
394.844,97.504,61.574,186.671
395.018,244.214,117.16,33.154
395.192,131.452,134.199,254.505
395.366,165.027,208.389,171.601
395.54,220.964,128.934,44.92
395.714,104.657,58.572,150.135
395.888,171.262,169.418,126.856
396.062,82.15,142.674,183.319
396.236,187.138,190.202,133.417
396.41,97.757,121.779,101.628
396.584,200.964,107.513,156.224
396.758,210.942,197.475,199.393
396.932,172.975,173.309,116.603
397.106,164.529,178.867,136.683
397.28,179.903,220.899,172.651
397.454,229.887,257.963,152.336
397.628,171.308,172.951,253.516
397.802,111.726,251.552,234.829
397.976,93.655,129.852,181.95
398.149,177.692,94.013,220.963
398.323,173.837,257.974,132.056
398.497,216.33,208.411,134.89
398.671,245.231,131.82,177.104
398.845,207.41,194.282,150.971
399.019,147.962,225.615,180.116
399.193,208.346,182.037,141.793
399.367,207.402,153.58,230.58
399.541,120.401,220.514,171.597
399.715,307.829,235.92,217.598
399.889,110.933,159.522,116.295
400.063,217.587,217.933,175.259
400.237,211.745,96.19,171.204
400.411,185.323,157.741,177.74
400.585,39.84,124.615,172.128
400.759,215.089,246.602,106.716
400.932,219.024,162.446,224.003
401.106,164.348,174.935,145.962
401.28,152.025,210.106,152.149
401.454,139.457,128.14,131.111
401.628,98.027,151.467,150.315
401.802,152.004,213.519,126.797
401.976,186.956,89.299,160.264
402.15,127.401,115.523,198.581
402.324,189.353,182.941,188.501
402.498,221.492,155.024,188.218
402.672,176.099,123.498,190.259
402.846,201.929,108.123,175.154
403.02,236.341,117.526,238.881
403.193,178.574,150.404,131.902
403.367,115.112,110.3,157.214
403.541,121.749,194.225,165.547
403.715,32.286,213.179,146.438
403.889,168.709,144.692,129.676
404.063,157.733,204.995,114.88
404.237,169.843,125.702,177.953
404.411,139.797,191.107,166.471
404.585,81.659,112.685,142.074
404.759,203.651,113.926,118.268
404.933,189.413,175.496,225.7
405.106,232.164,151.995,123.988
405.28,44.442,120.036,146.596
405.454,130.626,196.341,147.098
405.628,87.645,151.194,125.904
405.802,205.188,224.632,195.197
405.976,83.344,157.493,94.651
406.15,126.341,96.033,102.981
406.324,242.779,172.718,195.251
406.498,127.527,72.098,133.397
406.672,109.269,144.719,215.846
406.846,144.905,206.805,213.813
407.019,207.706,199.189,210.041
407.193,144.961,114.914,107.15
407.367,140.707,210.656,151.879
407.541,147.413,222.018,151.539
407.715,191.836,170.998,137.807
407.889,145.842,90.45,143.928
408.063,166.845,228.499,284.243
408.237,73.229,138.557,174.586
408.411,204.95,183.009,155.245
408.585,139.592,50.059,171.505
408.758,125.948,82.944,124.17
408.932,138.379,139.806,141.789
409.106,62.701,96.527,66.876
409.28,212.446,147.312,172.045
409.454,173.391,211.122,93.213
409.628,245.835,215.153,131.274
409.802,196.523,191.699,183.289
409.976,164.437,201.787,147.862
410.149,168.303,101.472,219.663
410.323,121.517,227.647,152.945
410.497,45.152,151.824,142.75
410.671,230.061,228.136,250.587
410.845,112.191,178.485,244.286
411.019,220.74,213.003,156.189
411.193,142.568,225.443,175.48
411.367,138.404,149.857,69.594
411.541,165.813,198.797,216.005
411.714,215.93,271.622,254.913
411.888,3,104.014,136.563
412.062,225.729,210.491,211.461
412.236,251.434,253.05,338.467
412.41,107.968,158.545,182.97
412.584,120.767,227.766,147.298
412.758,138.853,191.464,135.42
412.932,145.298,170.707,159.743
413.105,101.637,210.513,250.828
413.279,137.009,185.748,207.541
413.453,148.882,216.147,220.131
413.627,132.863,195.853,160.272
413.801,163.537,185.155,198.153
413.975,157.576,169.614,94.077
414.149,215.368,154.096,133.714
414.322,239.592,223.845,233.282
414.496,163.865,246.489,181.042
414.67,24.066,213.34,124.466
414.844,229.693,99.765,75.206
415.018,140.271,73.298,118.647
415.192,167.071,220.162,238.289
415.366,156.804,198.176,187.981
415.539,165.603,78.238,132.595
415.713,102.144,96.992,55.113
415.887,197.895,232.987,159.991
416.061,93.799,179.53,90.824
416.235,119.366,165.927,242.816
416.409,73.84,114.255,132.743
416.583,71.64,119.196,114.084
416.756,253.202,157.623,228.536
416.93,195.713,270.568,110.35
417.104,226.141,183.971,137.555
417.278,125.727,194.472,221.232
417.452,186.252,198.368,88.814
417.626,260.917,166.344,98.526
417.8,248.922,195.737,176.367
417.973,223.71,254.827,216.861
418.147,180.925,184.139,211.212
418.321,175.473,147.814,191.126
418.495,193.089,182.245,114.138
418.669,115.439,139.804,145.628
418.843,197.301,239.772,214.48
419.016,175.96,180.925,131.105
419.19,199.545,215.013,188.537
419.364,293.2,336.069,201.543
419.538,149.607,86.788,156.036
419.712,139.859,259.136,218.268
419.886,200.643,155.976,138.404
420.06,256.349,182.838,261.816
420.233,181.98,237.109,204.427
420.407,217.968,206.584,168.073
420.581,182.037,216.409,196.344
420.755,204.587,272.306,324.272
420.929,51.268,199.632,85.467
421.103,154.987,165.437,160.171
421.276,121.643,107.233,142.339
421.45,192.522,243.438,234.315
421.624,160.316,172.787,267.893
421.798,85.966,203.336,134.689
421.972,224.03,149.188,312.578
422.145,230.184,240.624,222.188
422.319,178.099,198.638,132.46
422.493,236.123,144.493,161.908
422.667,155.786,144.578,262.238
422.841,145.951,202.997,193.193
423.015,169.582,196.155,148.276
423.188,155.97,197.321,143.771
423.362,294.295,267.987,146.99
423.536,240.324,274.865,210.933
423.71,234.332,230.016,214.224
423.884,206.639,201.111,213.535
424.057,232.278,299.095,196.71
424.231,281.651,273.148,249.5
424.405,201.852,278.287,222.265
424.579,241.887,335.125,283.725
424.753,299.748,187.063,263.242
424.927,274.072,266.558,286.866
425.1,234.091,267.237,330.83
425.274,202.349,185.352,310.359
425.448,252.594,245.466,326.77
425.622,328.595,342.353,297.68
425.796,311.464,267.543,231.168
425.969,190.288,291.984,267.161
426.143,239.259,271.556,379.698
426.317,311.877,316.151,302.051
426.491,333.979,283.565,257.098
426.665,324.666,293.288,244.484
426.838,391.345,303.586,297.848
427.012,276.191,307.275,359.052
427.186,347.248,383.262,273.868
427.36,262.824,400.068,405.592
427.534,233.404,292.294,283.606
427.707,322.211,343.814,344.597
427.881,238.736,232.098,274.517
428.055,326.113,352.575,392.657
428.229,404.953,313.78,317.695
428.403,296.918,376.754,337.311
428.576,363.207,347.622,326.584
428.75,321.833,404.9,378.676
428.924,437.373,395.583,378.354
429.098,393.66,308.656,336.606
429.272,209.104,336.156,264.908
429.445,318.101,244.355,395.126
429.619,368.201,400.148,372.96
429.793,342.698,368.813,449.937
429.967,449.042,469.508,452.339
430.141,428.47,399.515,387.214
430.314,428.75,520.378,456.472
430.488,368.653,332.355,470.996
430.662,418.589,338.083,375.921
430.836,397.034,387.449,398.131
431.009,364.596,441.168,402.373
431.183,370.392,486.825,498.727
431.357,458.134,470.728,500.844
431.531,451.838,502.018,501.831
431.705,467.11,451.543,498.907
431.878,448.205,516.791,435.383
432.052,577.108,561.899,526.52
432.226,507.275,679.129,596.976
432.4,584.148,468.13,521.334
432.573,487.086,504.083,458.704
432.747,539.167,532.568,469.333
432.921,504.476,519.742,526.118
433.095,571.468,585.885,579.525
433.269,581.79,556.982,531.732
433.442,559.142,597.036,594.923
433.616,589.964,649.844,575.393
433.79,532.755,568.188,603.208
433.964,555.235,603.224,636.637
434.137,596.726,528.886,561.407
434.311,722.141,626.735,730.948
434.485,597.822,657.143,659.774
434.659,595.952,564.898,683.6
434.832,690.555,660.929,638.104
435.006,637.392,661.222,678.263
435.18,641.079,602.639,772.246
435.354,693.221,752.659,618.913
435.527,723.108,730.765,796.08
435.701,670.189,707.356,696.113
435.875,749.391,820.85,832.056
436.049,726.945,711.991,705.551
436.223,724.051,678.941,650.629
436.396,776.115,903.599,868.295
436.57,748.983,783.052,795.888
436.744,823.641,918.273,864.049
436.918,803,801.436,838.082
437.091,839.83,787.735,804.736
437.265,794.71,800.364,822.621
437.439,815.199,863.208,858.443
437.613,878.18,940.013,934.408
437.786,871.102,953.284,902.363
437.96,974.076,980.043,987.436
438.134,865.766,929.16,963.664
438.308,953.783,892.197,961.719
438.481,973.533,932.317,896.723
438.655,967.255,1078.068,1013.852
438.829,987.079,943.208,1000.417
439.002,920.341,971.671,946.796
439.176,933.031,998.178,940.141
439.35,985.501,878.931,988.878
439.524,983.518,1051.318,1057.289
439.697,1112.857,1130.737,1097.001
439.871,1102.869,1116.385,1086.379
440.045,1102.502,1126.639,1090.656
440.219,1036.978,1113.2,1063.532
440.392,1114.131,1129.644,1084.558
440.566,1080.635,1139.315,1171.254
440.74,1085.199,1206.35,1194.435
440.914,1034.94,1091.716,1112.86
441.087,1072.806,1101.237,1111.268
441.261,1073.645,1205.842,1194.283
441.435,1144.332,1216.806,1207.824
441.609,1241.207,1267.943,1218.95
441.782,1175.399,1291.899,1239.191
441.956,1332.033,1255.216,1253.475
442.13,1247.401,1263.171,1349.621
442.303,1192.76,1333.305,1286.924
442.477,1389.902,1396.118,1510.022
442.651,1238.727,1346.54,1387.823
442.825,1317.617,1276.267,1425.2
442.998,1342.961,1457.085,1406.048
443.172,1378.497,1509.387,1499.067
443.346,1492.942,1594.768,1573.138
443.52,1549.747,1608.823,1614.545
443.693,1507.6,1579.989,1622.947
443.867,1510.214,1553.21,1497.396
444.041,1583.096,1620.228,1631.546
444.214,1596.252,1587.68,1625.187
444.388,1621.936,1719.392,1711.271
444.562,1620.73,1741.939,1691.587
444.736,1652.01,1659.851,1641.437
444.909,1780.99,1718.713,1819.551
445.083,1671.051,1693.131,1675.655
445.257,1524.042,1717.484,1656.484
445.43,1767.473,1871.236,1918.928
445.604,1655.601,1683.596,1736.736
445.778,1852.995,1895.467,1912.048
445.952,1737.637,1800.563,1853.937
446.125,1726.866,1909.102,1993.894
446.299,1847.24,1914.481,1945.142
446.473,1804.32,1840.499,1828.371
446.646,1801.838,1931.167,1989.421
446.82,1911.406,1913.92,1986.875
446.994,1921.616,1856.292,2052.801
447.167,1960.702,2126.793,2052.764
447.341,2044.49,2052.424,2083.851
447.515,1999.719,2088.226,2088.079
447.689,1984.834,2057.372,2117.487
447.862,1954.094,2100.055,2193.333
448.036,2034.726,2138.063,2031.84
448.21,1867.594,2009.781,2116.663
448.383,2019.135,2094.679,2070.169
448.557,1953.581,2003.489,2084.728
448.731,2031.708,2034.111,2133.68
448.904,2043.57,2105.406,2124.564
449.078,2030.68,2153.951,2166.335
449.252,2023.45,2094.35,2048.518
449.426,2083.399,2129.681,2131.046
449.599,2140.795,2187.98,2237.778
449.773,2067.056,2109.252,2141.512
449.947,2070.718,2125.516,2079.531
450.12,1951.518,1984.577,1975.158
450.294,1987.54,2037.065,2117.594
450.468,1900.846,1936.696,1968.78
450.641,1953.364,2093.034,2010.363
450.815,2038.528,2080.926,2014.932
450.989,1972.107,2026.855,1995.767
451.162,1878.092,2062.566,1959.1
451.336,1809.482,1826.952,1902.081
451.51,1783.702,1859.66,1938.054
451.683,1834.381,1851.403,1892.594
451.857,1791.862,1879.689,1984.821
