wavelength,intensity1,intensity2,intensity3
360.035,58.98,54.035,53.159
360.21,33.168,41.331,43.458
360.384,103.89,112.808,67.295
360.558,66.913,102.315,88.043
360.732,88.127,73.811,105.754
360.906,120.862,118.897,107.388
361.08,107.783,91.311,115.154
361.254,158.609,102.929,154.219
361.428,117.43,94.197,114.653
361.603,112.875,73.022,138.518
361.777,66.021,46.234,60.478
361.951,60.576,92.126,64.798
362.125,50.76,109.04,136.507
362.299,47.022,103.131,90.303
362.473,129.898,133.509,91.697
362.647,132.104,116.329,98.681
362.821,97.45,129.907,113.526
362.996,133.95,115.37,116.44
363.17,165.519,108.303,124.511
363.344,64.305,83.889,66.394
363.518,94.697,87.977,124.751
363.692,122.351,91.966,83.907
363.866,116.648,125.97,109.423
364.04,31.311,74.196,146.446
364.214,101.824,131.35,112.881
364.388,85.619,154.36,128.037
364.563,107.242,128.856,105.126
364.737,79.553,70.017,83.509
364.911,164.849,184.022,153.215
365.085,153.221,63.152,127.801
365.259,100.88,82.302,94.722
365.433,132.842,121.74,135.74
365.607,164.718,158.026,132.159
365.781,92.871,90.913,136.767
365.955,100.185,106.322,122.729
366.129,110.031,141.649,132.011
366.304,70.86,73.263,63.335
366.478,130.215,146.858,86.302
366.652,193.165,164.572,151.991
366.826,128.744,90.997,165.532
367,103.367,162.917,169.551
367.174,165.062,151.048,127.209
367.348,149.133,177.286,170.063
367.522,80.844,147.829,82.758
367.696,63.428,109.112,77.601
367.87,102.393,105.744,77.149
368.045,129.067,126.705,194.798
368.219,117.104,126.759,182.426
368.393,152.412,125.387,145.461
368.567,111.63,102.543,121.148
368.741,109.088,114.086,112.212
368.915,72.909,113.052,141.631
369.089,151.262,182.119,185.127
369.263,164.276,155.554,176.443
369.437,87.962,126.825,126.113
369.611,184.796,104.601,132.148
369.785,75.075,85.762,102.239
369.959,111.879,78.76,155.532
370.134,142.212,170.323,226.555
370.308,102.929,89.236,128.745
370.482,148.646,155.405,185.202
370.656,110.932,143.958,109.512
370.83,97.397,27.193,134.38
371.004,157.704,129.37,143.352
371.178,135.224,128.124,128.741
371.352,162.335,148.869,133.749
371.526,220.135,201.294,243.736
371.7,95.841,128.994,139.362
371.874,184.563,156.329,119.561
372.048,160.343,193.156,275.253
372.222,136.553,143.453,114.418
372.397,183.412,252.608,243.985
372.571,153.485,224.727,239.805
372.745,180.93,133.261,95.722
372.919,135.952,113.67,98.13
373.093,139.147,128.43,153.339
373.267,137.433,99.459,164.688
373.441,126.709,168.397,215.423
373.615,359.294,295.098,246.805
373.789,169.039,140.992,114.382
373.963,221.183,141.127,223.078
374.137,185.758,243.745,198.117
374.311,100.933,164.956,145.924
374.485,278.817,241.28,251.558
374.659,228.337,232.973,205.289
374.833,162.1,120.619,103.036
375.007,86.907,110.331,130.922
375.182,162.658,120.829,106.736
375.356,211.144,93.496,222.309
375.53,129.815,137.802,154.516
375.704,258.718,210.9,174.146
375.878,95.506,20.393,174.241
376.052,319.683,323.588,344.922
376.226,176.769,273.269,163.641
376.4,73.655,102.925,141.21
376.574,151.581,167.929,80.126
376.748,187.052,158.233,164.144
376.922,133.843,148.751,110.092
377.096,233.807,214.542,227.027
377.27,131.912,176.823,159.806
377.444,291.438,246.4,224.937
377.618,187.858,222.99,230.932
377.792,225.501,176.629,199.236
377.966,167.289,167.191,178.736
378.14,120.816,123.59,177.128
378.314,284.257,194.242,268.17
378.488,228.312,155.535,169.852
378.662,107.297,136.573,95.195
378.837,134.303,179.254,113.302
379.011,168.282,177.443,183.734
379.185,132.103,205.792,155.399
379.359,277.795,167.209,355.88
379.533,117.14,131.378,116.815
379.707,165.916,202.009,230.066
379.881,111.734,222.119,212.039
380.055,75.838,148.179,123.522
380.229,164.69,177.926,207.264
380.403,113.9,123.771,63.001
380.577,178.825,206.36,161.472
380.751,250.037,220.045,217.048
380.925,238.102,142.129,239.668
381.099,89.652,121.023,122.589
381.273,261.41,163.04,311.591
381.447,139.076,184.08,167.831
381.621,207.772,157.122,145.479
381.795,292.416,185.136,229.832
381.969,128.533,258.757,207.81
382.143,186.467,179.006,160.946
382.317,222.767,224.892,202.185
382.491,216.778,205.671,113.988
382.665,221.568,176.317,162.953
382.839,204.661,175.918,208.988
383.013,236.023,271.851,210.317
383.187,245.254,129.976,221.875
383.361,195.868,191.53,187.957
383.535,235.364,65.769,139.338
383.709,303.578,314.18,342.115
383.883,69.893,151.305,174.011
384.057,232.966,197.366,212.651
384.231,146.752,177.51,92.435
384.405,167.439,145.249,179.618
384.579,182.544,157.836,198.96
384.753,186.623,191.587,131.504
384.927,185.435,129.697,199.519
385.101,160.257,209.487,242.158
385.275,131.064,180.391,212.839
385.449,61.101,107.909,63.389
385.623,243.833,243.721,223.081
385.797,159.157,173.204,170.798
385.971,79.275,110.686,147.908
386.145,156.949,133.045,160.197
386.319,190.427,183.877,209.251
386.493,198.189,204.406,263.275
386.667,191.159,178.872,240.642
386.841,211.526,329.187,287.206
387.015,308.233,231.121,281.487
387.189,320.758,405.452,446.111
387.363,169.467,117.492,89.944
387.537,242.565,304.134,232.114
387.711,74.913,120.605,53.121
387.885,176.296,159.798,127.903
388.059,214.806,142.048,115.431
388.233,192.445,143.21,204.37
388.407,136.815,156.938,140.738
388.581,162.167,112.246,267.433
388.755,220.053,254.681,199.716
388.929,186.995,54.069,162.014
389.103,331.724,171.026,273.978
389.277,307.504,130.643,278.302
389.451,137.282,164.908,183.186
389.625,315.001,245.179,226.139
389.799,259.309,269.976,179.669
389.973,230.195,231.138,249.96
390.147,207.665,192.398,153.343
390.321,250.767,279.051,251.576
390.495,141.244,180.329,140.948
390.669,172.827,167.551,114.665
390.843,233.841,259.676,288.521
391.017,244.209,275.982,205.221
391.191,308.076,224.951,261.858
391.365,193.383,146.724,144.333
391.539,228.27,233.434,236.381
391.713,277.635,231.942,245.719
391.887,178.615,161.886,207.053
392.061,160.507,176.833,264.313
392.235,166.826,225.513,208.622
392.409,322.89,274.806,280.98
392.583,343.915,149.891,233.44
392.757,249.401,139.149,257.538
392.931,268.261,196.173,272.993
393.105,134.437,169.791,173.425
393.279,153.643,232.236,216.027
393.453,103.675,216.457,59.365
393.627,198.898,235.438,231.643
393.801,280.948,273.884,226.236
393.975,215.814,84.992,101.256
394.149,273.02,182.709,281.164
394.322,190.192,277.345,149.716
394.496,117.909,197.275,143.423
394.67,228.329,227.032,272.434
394.844,155.196,132.302,184.897
395.018,217.488,128.986,220.567
395.192,191.975,232.421,168.922
395.366,268.01,179.666,157.923
395.54,301.925,218.014,365.6
395.714,90.959,169.204,145.276
395.888,78.642,215.359,190.155
396.062,271.043,260.176,180.402
396.236,164.601,244.307,174.515
396.41,168.341,250.346,231.419
396.584,189.693,171.861,234.152
396.758,355.926,209.463,278.174
396.932,203.675,124.906,178.954
397.106,203.825,208.361,169.654
397.28,248.491,191.728,248.101
397.454,214.035,171.749,210.355
397.628,379.277,333.686,363.725
397.802,319.262,207.569,209.84
397.976,202.051,222.447,203.777
398.149,209.159,171.567,116.83
398.323,188.959,211.996,189.713
398.497,154.519,109.468,253.447
398.671,221.018,272.084,271.847
398.845,136.216,212.782,179.998
399.019,134.392,232.578,212.466
399.193,285.598,173.918,246.415
399.367,186.327,160.846,161.758
399.541,203.191,186.436,188.564
399.715,331.989,198.872,227.006
399.889,175.696,118.914,157.523
400.063,278.07,185.007,210.01
400.237,155.557,186.952,247.721
400.411,164.865,212.815,230.875
400.585,172.729,192.497,133.654
400.759,279.397,214.633,165.914
400.932,333.775,294.873,361.256
401.106,83.891,179.358,129.813
401.28,221.895,209.318,218.139
401.454,233.293,120,175.84
401.628,101.616,143.063,251.091
401.802,208.679,172.69,102.832
401.976,235.659,154.254,219.66
402.15,101.548,186.918,156.709
402.324,182.379,172.702,171.546
402.498,241.83,233.868,213.046
402.672,190.912,158.391,176.528
402.846,295.752,315.804,355.918
403.02,199.882,284.018,256.08
403.193,164.045,81.554,149.484
403.367,238.738,214.048,147.267
403.541,201.266,157.469,230.411
403.715,178.037,149.402,156.281
403.889,218.137,159.826,195.581
404.063,208.404,223.283,183.109
404.237,267.611,264.065,260.405
404.411,333.893,237.109,265.57
404.585,186.586,247.857,167.602
404.759,106.416,173.558,152.799
404.933,268.007,285.423,238.07
405.106,211.018,177.133,198.782
405.28,206.639,132.226,180.566
405.454,268.477,246.981,143.69
405.628,181.726,152.503,194.459
405.802,230.714,254.192,298.911
405.976,171.375,130.992,219.111
406.15,122.988,172.882,149.197
406.324,263.044,229.357,264.866
406.498,154.151,253.957,216.29
406.672,219.802,195.538,268.841
406.846,349.68,211.998,128.492
407.019,243.9,254.843,315.463
407.193,155.116,139.847,152.92
407.367,105.031,202.152,175.402
407.541,152.146,160.07,237.176
407.715,197.386,167.824,187.594
407.889,220.491,101.897,177.637
408.063,304.261,350.41,238.286
408.237,168.836,164.457,223.913
408.411,149.525,189.691,117.388
408.585,145.874,221.554,231.65
408.758,123.797,258.264,194.077
408.932,151.225,237.738,183.776
409.106,161.954,71.442,114.908
409.28,287.985,270.212,211.82
409.454,179.676,186.156,162.828
409.628,268.267,201.004,266.907
409.802,211.629,221.784,260.582
409.976,245.236,221.242,262.757
410.149,100.803,240.721,158.508
410.323,268.039,260.364,249.343
410.497,173.327,211.975,227.252
410.671,235.404,248.882,258.846
410.845,198.895,241.782,273.57
411.019,246.974,118.647,257.002
411.193,197.645,165.865,251.555
411.367,243.708,179.102,255.585
411.541,277.62,220.898,231.557
411.714,220.303,264.916,329.427
411.888,63.53,109.051,156.797
412.062,243.386,238.455,232.205
412.236,360.321,341.565,279.237
412.41,187.693,205.022,261.232
412.584,204.815,229.091,207.541
412.758,172.953,241.703,127.449
412.932,321.492,224.745,317.535
413.105,295.671,297.926,251.171
413.279,246.712,244.392,260.665
413.453,202.979,207.05,225.662
413.627,186.159,154.707,205.049
413.801,254.582,203.73,227.875
413.975,210.139,210.032,281.263
414.149,238.296,254.338,264.222
