lambda,T_skim_2ml,T_half_full,T_full
360.107,110,110,110
360.278,110,110,110
360.448,209.719,415.007,342.904
360.618,110,110,110
360.789,110,110,110
360.959,87.344,557.449,533.311
361.129,394.271,393.182,930.401
361.299,110,110,110
361.47,153.991,230.082,232.109
361.64,110,110,110
361.81,110,110,110
361.981,883.989,1997.704,2740.946
362.151,474.3,1077.651,1514.697
362.321,366.188,854.832,1302.604
362.492,377.711,853.823,1356.353
362.662,220.778,487.339,729.508
362.832,195.683,481.17,726.581
363.003,221.892,585.149,854.008
363.173,225.069,732.247,1065.167
363.343,280.418,867.809,1356.322
363.514,238.122,793.826,1249.954
363.684,184.596,591.91,867.328
363.854,270.426,986.986,1480.819
364.025,205.203,810.297,1206.928
364.195,110,110,110
364.365,110,110,110
364.536,110,110,110
364.706,110,110,110
364.876,445.568,4256.544,6337.346
365.047,320.827,7684.874,12114.062
365.217,233.304,1464.528,2271.888
365.388,171.901,1060.667,1675.533
365.558,167.252,1282.148,2078.191
365.728,141.856,1106.229,1744.267
365.899,2607.694,20555.871,33429.533
366.069,108.208,772.824,1211.588
366.239,118.688,967.01,1553.401
366.41,88.418,812.757,1336.15
366.58,132.629,850.855,1389.63
366.75,120.809,773.542,1180.105
366.921,178.81,784.23,1182.065
367.091,374.5,1494.402,2257.442
367.261,110,110,110
367.432,110,110,110
367.602,110,110,110
367.773,110,110,110
367.943,110,110,110
368.113,110,110,110
368.284,110,110,110
368.454,651.308,1816.446,2614.575
368.625,387.955,978,1401.448
368.795,629.688,1579.633,2345.927
368.965,593.554,1410.663,2063.015
369.136,797.582,2030.984,3016.98
369.306,1210.132,2968.418,4302.252
369.476,1460.531,3842.974,5521.329
369.647,110,110,110
369.817,110,110,110
369.988,110,110,110
370.158,110,110,110
370.328,110,110,110
370.499,110,110,110
370.669,110,110,110
370.84,110,110,110
371.01,110,110,110
371.18,110,110,110
371.351,110,110,110
371.521,110,110,110
371.692,110,110,110
371.862,110,110,110
372.033,110,110,110
372.203,110,110,110
372.373,110,110,110
372.544,110,110,110
372.714,110,110,110
372.885,110,110,110
373.055,410.952,1348.866,2072.434
373.226,342.465,964.706,1514.563
373.396,590.823,1649.437,2638.478
373.566,452.793,1207.303,2047.672
373.737,440.811,1093.085,1928.375
373.907,1032.999,2697.243,5077.632
374.078,110,110,110
374.248,110,110,110
374.419,110,110,110
374.589,110,110,110
374.759,110,110,110
374.93,110,110,110
375.1,110,110,110
375.271,110,110,110
375.441,110,110,110
375.612,110,110,110
375.782,110,110,110
375.953,110,110,110
376.123,110,110,110
376.294,110,110,110
376.464,110,110,110
376.634,110,110,110
376.805,110,110,110
376.975,110,110,110
377.146,110,110,110
377.316,110,110,110
377.487,110,110,110
377.657,110,110,110
377.828,110,110,110
377.998,110,110,110
378.169,110,110,110
378.339,110,110,110
378.51,110,110,110
378.68,110,110,110
378.851,110,110,110
379.021,110,110,110
379.192,110,110,110
379.362,110,110,110
379.533,110,110,110
379.703,110,110,110
379.874,110,110,110
380.044,110,110,110
380.215,110,110,110
380.385,110,110,110
380.556,110,110,110
380.726,110,110,110
380.897,110,110,110
381.067,110,110,110
381.238,110,110,110
381.408,110,110,110
381.579,110,110,110
381.749,110,110,110
381.92,110,110,110
382.09,110,110,110
382.261,110,110,110
382.431,110,110,110
382.602,110,110,110
382.772,110,110,110
382.943,110,110,110
383.113,110,110,110
383.284,110,110,110
383.454,110,110,110
383.625,110,110,110
383.795,110,110,110
383.966,110,110,110
384.136,110,110,110
384.307,110,110,110
384.478,110,110,110
384.648,110,110,110
384.819,110,110,110
384.989,110,110,110
385.16,110,110,110
385.33,110,110,110
385.501,110,110,110
385.671,110,110,110
385.842,110,110,110
386.012,110,110,110
386.183,110,110,110
386.354,110,110,110
386.524,110,110,110
386.695,110,110,110
386.865,110,110,110
387.036,110,110,110
387.206,110,110,110
387.377,110,110,110
387.547,110,110,110
387.718,110,110,110
387.889,110,110,110
388.059,110,110,110
388.23,110,110,110
388.4,110,110,110
388.571,110,110,110
388.741,110,110,110
388.912,110,110,110
389.083,110,110,110
389.253,110,110,110
389.424,110,110,110
389.594,110,110,110
389.765,110,110,110
389.936,110,110,110
390.106,110,110,110
390.277,110,110,110
390.447,110,110,110
390.618,110,110,110
390.789,110,110,110
390.959,110,110,110
391.13,110,110,110
391.3,110,110,110
391.471,110,110,110
391.642,110,110,110
391.812,110,110,110
391.983,2041.776,2910.657,4485.209
392.153,522.304,752.494,1099.504
392.324,328.596,488.82,736.745
392.495,193.038,284.42,417.157
392.665,153.273,252.606,333.298
392.836,135.307,209.39,289.291
393.007,127.8,217.666,294.184
393.177,114.626,212.645,295.847
393.348,98.727,211.39,279.548
393.518,90.217,200.675,270.996
393.689,96.776,217.351,302.907
393.86,91.118,265.438,378.011
394.03,96.544,268.129,369.796
394.201,92.237,241.765,347.276
394.372,90.623,284.17,444.504
394.542,79.261,364.576,594.646
394.713,49.982,652.375,1124.851
394.883,0,894.122,1669.707
395.054,110,110,110
395.225,110,110,110
395.395,110,110,110
395.566,110,110,110
395.737,110,110,110
395.907,110,110,110
396.078,110,110,110
396.249,110,110,110
396.419,110,110,110
396.59,110,110,110
396.761,110,110,110
396.931,110,110,110
397.102,466.622,4689.879,9804.228
397.273,110,110,110
397.443,110,110,110
397.614,110,110,110
397.785,2659.507,12505.742,20590.349
397.955,131.711,631.994,967.646
398.126,208.688,821.198,1133.458
398.297,110.387,655.981,979.095
398.467,55.26,669.988,1019.931
398.638,31.905,560.67,808.266
398.809,59.766,384.849,520.622
398.979,77.481,328.057,419.994
399.15,76.522,209.121,257.61
399.321,73.247,150.504,204.426
399.491,68.455,196.87,254.489
399.662,61.021,167.803,238.31
399.833,70.143,158.697,220.125
400.003,64.436,154.285,240.76
400.174,57.268,159.182,283.024
400.345,69.8,160.865,281.789
400.515,66.586,134.764,251.422
400.686,79.864,126.768,233.207
400.857,81.082,143.683,263.985
401.028,80.036,140.285,240.463
401.198,88.873,161.723,274.707
401.369,88.433,172.971,328.06
401.54,87.409,162.245,287.379
401.71,81.893,137.632,267.037
401.881,74.495,121.119,235.96
402.052,61.858,115.337,238.185
402.223,53.173,112.417,232.067
402.393,41.985,102.389,198.401
402.564,44.125,100.063,195.498
402.735,43.906,88.743,174.075
402.905,35.805,73.846,147.555
403.076,28.641,69.912,149.732
403.247,22.161,54.803,130.355
403.418,0,40.339,132.879
403.588,0,71.99,173.531
403.759,0,74.094,194.746
403.93,0,66.034,205.736
404.1,0,51.059,197.454
404.271,0,64.587,233.385
404.442,0,60.84,175.055
404.613,20.162,72.379,155.835
404.783,33.472,70.068,146.831
404.954,28.812,79.323,163.053
405.125,27.438,81.765,170.005
405.296,17.791,74.477,216.711
405.466,0.665,66.962,226.433
405.637,36.069,80.117,174.629
405.808,42.78,78.244,175.428
405.979,47.14,78.401,151.67
406.149,49.336,86.403,149.558
406.32,41.33,77.518,141.904
406.491,34.405,69.21,140.451
406.662,35.23,61.213,136.105
406.832,24.51,52.008,120.781
407.003,6.877,35.37,129.487
407.174,0,15.66,226.199
407.345,0,0,224.92
407.515,0,0,356.142
407.686,0,0,262.802
407.857,0,0,165.201
408.028,0,0,137.37
408.198,12.181,4.43,120.02
